#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
0.0,50,973.558363
0.0,50,975.698484
2.0,50,977.865268
0.0,50,981.857893
1.0,50,984.112053
0.0,50,985.947522
0.0,50,987.949984
1.0,50,990.307717
0.0,50,992.178104
0.0,50,994.404489
0.0,50,996.899242
0.0,50,997.557262
0.0,50,1000.987165
3.0,50,1004.555086
0.0,50,1005.922887
0.0,50,1008.585722
0.0,50,1013.816127
1.0,50,1016.520796
0.0,50,1022.087623
0.0,50,1025.041316
0.0,50,1026.745736
0.0,50,1028.753308
4.0,50,1030.012113
0.0,50,1031.804542
0.0,50,1033.871541
0.0,50,1034.554886
1.0,50,1035.202102
1.0,50,1037.157242
0.0,50,1099.626725
0.0,50,1101.625995
0.0,50,1103.443787
3.0,10,1103.888169
0.0,50,1105.501975
1.0,50,1110.939225
2.0,2,1110.960908
1.0,1,1111.04236
0.0,50,1113.319119
0.0,50,1117.864807
0.0,50,1119.114199
1.0,2,1119.153033
0.0,50,1121.977555
1.0,50,1126.319982
0.0,50,1129.226295
0.0,50,1129.964499
0.0,50,1133.262381
0.0,50,1134.881895
0.0,50,1136.365449
3.0,50,1139.780247
0.0,50,1143.302945
1.0,2,1143.325151
1.0,50,1143.963564
1.0,50,1147.914798
1.0,1,1147.929996
2.0,50,1150.092702
3.0,50,1152.433004
0.0,50,1157.508332
0.0,50,1159.067243
2.0,3,1159.233284
0.0,50,1162.698761
3.0,50,1164.452681
0.0,50,1168.981137
0.0,50,1171.930112
0.0,50,1174.166118
0.0,50,1176.570924
0.0,50,1179.299994
0.0,50,1181.303522
1.0,50,1182.826462
1.0,50,1185.276618
1.0,50,1188.239929
1.0,50,1189.725511
0.0,50,1190.441752
0.0,50,1195.05001
1.0,50,1196.791929
0.0,50,1199.048453
0.0,50,1199.850946
0.0,50,1201.092446
0.0,50,1268.882945
0.0,50,1273.607914
1.0,50,1275.407134
1.0,3,1275.442596
0.0,50,1276.837193
0.0,50,1278.70743
1.0,50,1281.50104
1.0,4,1281.621695
0.0,50,1285.200356
2.0,50,1289.307217
0.0,50,1292.135357
0.0,50,1293.711479
3.0,50,1297.021547
1.0,50,1297.660048
0.0,50,1300.651873
2.0,50,1303.561869
2.0,50,1310.562509
3.0,6,1310.765814
0.0,50,1313.457458
2.0,50,1315.878926
1.0,50,1318.521554
0.0,50,1320.010448
1.0,50,1322.151501
1.0,50,1324.914112
0.0,50,1326.136184
0.0,50,1328.542821
0.0,50,1329.723853
0.0,50,1332.764843
0.0,50,1335.357994
0.0,50,1336.383409
0.0,50,1337.514884
0.0,50,1338.550194
1.0,50,1341.827764
0.0,50,1343.24087
1.0,50,1344.326344
2.0,14,1344.652634
0.0,50,1348.365595
0.0,50,1350.482925
0.0,50,1351.48167
0.0,50,1352.938081
1.0,50,1355.851082
2.0,50,1356.566411
1.0,50,1357.647603
2.0,2,1357.683378
2.0,18,1358.049609
0.0,50,1361.447386
0.0,50,1420.718864
1.0,3,1420.762624
0.0,50,1422.173283
1.0,2,1422.248344
0.0,50,1423.540611
1.0,50,1425.070974
1.0,50,1426.348082
0.0,50,1428.00572
0.0,50,1431.673756
3.0,4,1431.724621
0.0,50,1433.398972
2.0,6,1433.4602
0.0,50,1436.647259
0.0,50,1438.540864
1.0,50,1441.735725
0.0,50,1443.943816
1.0,50,1446.402991
0.0,50,1448.511508
0.0,50,1449.711965
0.0,50,1450.374553
1.0,50,1454.612244
1.0,1,1454.631765
0.0,50,1457.579381
3.0,50,1460.402869
0.0,50,1462.848313
2.0,50,1464.351921
0.0,50,1468.474496
3.0,22,1469.733544
1.0,2,1469.788114
1.0,50,1473.616637
0.0,50,1476.685912
0.0,50,1477.565354
0.0,50,1479.551416
0.0,50,1481.555761
0.0,50,1483.92022
1.0,50,1486.130978
1.0,4,1486.20594
1.0,50,1488.459763
2.0,50,1489.858235
1.0,50,1494.921474
3.0,50,1498.524458
2.0,50,1501.082193
1.0,50,1503.705693
4.0,15,1504.100969
1.0,50,1505.347743
1.0,50,1507.164353
0.0,50,1509.743474
0.0,50,1512.896104
2.0,11,1513.128979
2.0,3,1513.195771
0.0,50,1593.813412
2.0,32,1596.236556
1.0,50,1599.057429
1.0,50,1603.837949
0.0,50,1606.028644
5.0,20,1606.934115
0.0,50,1609.211335
0.0,50,1610.535343
0.0,50,1612.346304
0.0,50,1614.141279
0.0,50,1617.056225
0.0,50,1620.766157
2.0,50,1622.772185
1.0,50,1625.310375
0.0,50,1628.135555
0.0,50,1629.672711
1.0,50,1630.83925
1.0,50,1634.243282
1.0,50,1637.371333
0.0,50,1641.044256
1.0,50,1642.140591
0.0,50,1644.111662
1.0,50,1647.349691
0.0,50,1651.852962
0.0,50,1653.970524
2.0,50,1656.23846
2.0,2,1656.291506
0.0,50,1658.48665
2.0,50,1660.776267
2.0,50,1662.251988
1.0,50,1664.38636
0.0,50,1667.290419
1.0,50,1669.98804
0.0,50,1673.081244
1.0,50,1675.299284
0.0,50,1676.901281
1.0,50,1678.657502
2.0,50,1681.62518
0.0,50,1683.951562
1.0,11,1684.129068
1.0,50,1684.758454
0.0,50,1686.168906
0.0,50,1689.942974
2.0,50,1692.932674
0.0,50,1757.046322
0.0,50,1758.623465
1.0,2,1758.63272
0.0,50,1761.263698
1.0,50,1764.453383
0.0,50,1765.332518
0.0,50,1766.303227
2.0,50,1769.186397
1.0,50,1771.810385
0.0,50,1773.427801
0.0,50,1774.873649
0.0,50,1775.998877
0.0,50,1779.319794
3.0,5,1779.414915
3.0,9,1779.718345
0.0,50,1781.736217
0.0,50,1783.826062
1.0,50,1786.084773
0.0,50,1787.219917
1.0,50,1789.112972
1.0,50,1790.362511
2.0,11,1790.543802
1.0,50,1792.873175
3.0,50,1795.136426
0.0,50,1795.944103
1.0,50,1798.102559
0.0,50,1800.117706
1.0,50,1801.196028
2.0,4,1801.43942
0.0,50,1805.196984
1.0,3,1805.274755
1.0,50,1806.574566
4.0,14,1807.091238
1.0,50,1808.382778
