#{"t_start": 1706187320.441495, "env_id": null}
r,l,t
0.0,50,22261.067415
2.0,11,22261.182815
4.0,15,22261.335312
1.0,2,22261.362209
0.0,50,22262.052701
4.0,20,22262.215111
0.0,50,22263.048009
2.0,5,22263.107769
3.0,50,22263.528274
2.0,19,22263.614853
0.0,50,22264.453035
2.0,7,22264.549907
0.0,50,22265.004801
3.0,23,22265.198778
3.0,18,22265.516319
0.0,50,22266.050966
2.0,36,22266.956153
2.0,50,22268.06457
1.0,50,22271.313959
3.0,31,22272.099599
1.0,14,22272.185432
4.0,30,22272.700943
2.0,50,22276.05081
4.0,14,22276.421326
3.0,14,22276.706155
3.0,17,22277.013103
1.0,17,22277.138582
4.0,18,22277.258706
2.0,15,22277.623158
2.0,45,22278.242978
3.0,14,22278.425068
0.0,50,22279.476027
3.0,8,22279.678536
3.0,10,22279.812864
0.0,50,22280.61527
1.0,50,22284.508022
4.0,14,22284.712046
4.0,32,22285.228064
0.0,50,22287.122537
3.0,4,22287.19953
4.0,40,22288.311016
1.0,50,22288.715812
3.0,19,22288.913189
1.0,50,22291.916762
0.0,50,22325.196378
3.0,22,22325.468728
1.0,30,22325.726772
0.0,50,22326.252662
1.0,50,22326.987362
2.0,7,22327.020265
2.0,43,22328.185199
1.0,50,22329.147687
5.0,14,22329.373175
2.0,25,22329.624345
2.0,5,22329.704446
1.0,50,22330.473853
2.0,18,22330.726114
2.0,12,22330.819298
2.0,50,22331.372398
1.0,50,22332.534208
0.0,50,22333.015769
1.0,11,22333.380868
1.0,1,22333.416948
4.0,9,22333.671232
2.0,12,22333.759354
4.0,48,22334.323109
1.0,2,22334.373148
1.0,50,22334.95089
1.0,50,22335.342386
2.0,13,22335.689528
1.0,50,22336.187191
2.0,50,22337.153386
2.0,6,22337.27803
0.0,50,22337.981376
1.0,50,22339.624734
2.0,12,22339.94284
0.0,50,22340.852341
2.0,7,22340.990103
1.0,50,22342.546188
4.0,6,22342.660495
0.0,50,22343.01016
2.0,6,22343.144431
4.0,22,22343.579272
2.0,50,22344.545984
1.0,14,22344.691523
1.0,50,22345.445953
0.0,50,22346.43099
4.0,9,22346.660367
0.0,50,22347.480432
2.0,50,22348.445517
2.0,46,22349.28877
2.0,3,22349.315956
2.0,50,22349.6607
2.0,26,22349.866372
4.0,4,22349.991144
0.0,50,22350.691819
0.0,50,22351.604136
0.0,50,22353.558709
2.0,7,22353.63859
1.0,18,22353.828808
0.0,50,22354.681036
0.0,50,22355.479726
2.0,3,22355.550425
3.0,3,22355.599231
2.0,50,22356.547045
1.0,2,22356.653217
0.0,50,22357.586943
0.0,50,22358.34292
1.0,50,22359.140759
1.0,50,22395.650588
1.0,1,22395.727256
0.0,50,22396.626613
0.0,50,22397.592366
0.0,50,22398.398574
1.0,50,22399.745214
3.0,50,22400.929905
0.0,50,22401.997229
1.0,50,22403.287255
0.0,50,22404.355083
4.0,32,22404.664436
0.0,50,22406.15262
3.0,9,22406.515078
1.0,2,22406.533956
0.0,50,22407.504063
4.0,17,22407.702363
0.0,50,22409.366991
3.0,4,22409.470434
1.0,6,22409.543318
3.0,9,22409.689968
4.0,50,22410.302514
0.0,50,22410.849916
0.0,50,22412.542842
1.0,11,22412.640618
0.0,50,22413.705348
5.0,23,22414.212309
1.0,50,22415.100805
2.0,12,22415.570717
1.0,50,22417.059336
0.0,50,22417.943543
0.0,50,22419.773003
1.0,50,22421.018282
0.0,50,22421.808712
1.0,2,22421.868029
1.0,50,22423.159687
0.0,50,22424.433672
0.0,50,22425.980446
1.0,1,22426.020395
1.0,1,22426.064326
5.0,31,22426.335683
0.0,50,22428.503412
1.0,50,22430.351539
1.0,50,22431.79487
1.0,1,22431.798797
1.0,50,22433.150937
0.0,50,22434.626467
2.0,5,22434.881828
0.0,50,22435.670688
1.0,50,22436.328301
0.0,50,22437.127968
2.0,11,22437.357776
0.0,50,22438.04644
1.0,50,22441.319074
1.0,1,22441.340566
1.0,50,22442.309561
1.0,50,22443.142998
0.0,50,22484.085746
1.0,7,22484.280313
1.0,50,22485.153063
0.0,50,22487.164429
1.0,2,22487.183648
1.0,50,22488.082233
4.0,33,22488.52708
2.0,50,22489.076997
3.0,29,22489.375462
2.0,50,22490.56968
1.0,8,22490.748999
1.0,50,22491.897453
1.0,4,22491.964458
0.0,50,22492.748595
1.0,50,22493.624592
1.0,50,22494.161013
0.0,50,22494.791503
0.0,50,22495.765765
3.0,6,22495.982222
1.0,6,22496.192481
3.0,44,22497.110418
2.0,6,22497.207856
3.0,50,22497.952894
3.0,13,22498.204027
0.0,50,22501.328115
0.0,50,22502.260093
0.0,50,22504.597377
1.0,1,22504.61415
2.0,2,22504.692357
1.0,1,22504.704798
1.0,50,22505.567619
2.0,50,22507.436678
1.0,50,22509.527395
0.0,50,22511.378866
1.0,50,22512.235765
2.0,50,22512.956756
3.0,18,22513.402603
2.0,13,22513.745094
1.0,5,22513.822161
0.0,50,22514.930629
3.0,24,22515.506954
1.0,6,22515.611202
1.0,2,22515.623489
2.0,15,22515.914382
0.0,50,22517.789755
3.0,3,22517.880334
0.0,50,22518.576199
3.0,19,22518.847786
0.0,50,22519.773479
1.0,2,22519.792109
2.0,50,22521.278282
2.0,3,22521.333169
2.0,3,22521.378855
0.0,50,22522.497201
3.0,3,22522.575154
0.0,50,22525.107399
0.0,50,22528.402912
2.0,36,22529.369673
0.0,50,22530.535288
2.0,50,22531.965747
0.0,50,22532.897101
2.0,46,22533.54662
2.0,50,22534.124675
0.0,50,22575.707394
5.0,22,22576.053782
0.0,50,22577.240669
1.0,50,22578.055995
2.0,2,22578.076784
0.0,50,22579.110173
0.0,50,22579.71561
2.0,5,22579.792408
3.0,5,22579.884363
1.0,1,22579.903408
0.0,50,22581.470186
2.0,22,22581.595163
1.0,50,22582.298604
4.0,40,22582.749966
1.0,50,22583.310039
2.0,18,22583.958331
0.0,50,22584.759109
3.0,10,22584.90061
1.0,1,22584.912987
0.0,50,22586.062297
1.0,50,22586.447518
3.0,3,22586.520596
1.0,1,22586.53057
0.0,50,22587.234432
3.0,4,22587.292794
1.0,1,22587.300581
1.0,1,22587.311759
3.0,15,22587.588666
2.0,24,22588.047816
4.0,25,22588.652328
1.0,50,22589.232359
1.0,50,22590.988481
0.0,50,22592.732748
1.0,50,22595.993924
1.0,50,22596.988697
3.0,4,22597.140197
1.0,3,22597.236656
0.0,50,22598.986522
1.0,1,22599.015284
3.0,4,22599.132428
0.0,50,22599.758275
0.0,50,22600.459763
2.0,50,22600.911134
2.0,8,22601.329124
4.0,23,22601.550039
0.0,50,22602.723722
2.0,14,22602.861301
2.0,47,22604.633412
1.0,50,22605.723501
2.0,50,22607.050348
0.0,50,22607.93603
3.0,9,22608.018413
1.0,50,22608.529131
1.0,50,22609.5858
0.0,50,22610.231726
3.0,31,22610.72624
1.0,50,22611.417565
2.0,50,22611.847589
0.0,50,22613.018125
0.0,50,22613.747654
2.0,50,22615.280669
0.0,50,22616.099633
3.0,38,22651.997163
0.0,50,22653.75698
1.0,50,22654.624385
1.0,50,22655.231586
1.0,50,22655.936669
0.0,50,22656.886225
0.0,50,22657.584414
2.0,15,22658.003041
4.0,8,22658.244544
1.0,50,22659.180331
3.0,6,22659.377699
0.0,50,22659.907784
1.0,13,22660.107725
0.0,50,22661.588022
0.0,50,22662.339424
1.0,50,22663.716576
1.0,50,22664.19524
6.0,14,22664.616907
0.0,50,22665.081945
3.0,50,22665.75511
3.0,10,22666.011065
2.0,2,22666.045386
0.0,50,22667.669312
0.0,50,22668.480234
0.0,50,22669.156
0.0,50,22670.225084
1.0,7,22670.441096
1.0,50,22672.866974
3.0,50,22673.321284
0.0,50,22674.518055
3.0,43,22675.200963
1.0,50,22676.415907
3.0,50,22676.834849
1.0,50,22677.449326
3.0,31,22678.370223
0.0,50,22678.741894
3.0,4,22678.818934
1.0,50,22679.590427
3.0,31,22680.221378
0.0,50,22681.101766
0.0,50,22682.893327
4.0,12,22683.099076
0.0,50,22683.871193
2.0,50,22684.720696
0.0,50,22685.725947
1.0,9,22685.823328
2.0,50,22686.479973
1.0,50,22687.582934
1.0,14,22687.720931
3.0,50,22688.90879
1.0,1,22688.983753
1.0,50,22691.430988
3.0,9,22691.600446
2.0,18,22691.793607
1.0,3,22691.885772
0.0,50,22733.314651
0.0,50,22734.060738
0.0,50,22735.094414
1.0,50,22736.752671
3.0,24,22737.100057
1.0,50,22738.4031
5.0,49,22738.889416
0.0,50,22739.778715
0.0,50,22740.782357
0.0,50,22741.495108
4.0,50,22743.462345
2.0,15,22744.623054
0.0,50,22745.804972
0.0,50,22746.377011
2.0,9,22746.599608
1.0,17,22746.702209
0.0,50,22747.763309
2.0,11,22748.08047
0.0,50,22749.053797
2.0,8,22749.306287
1.0,50,22750.90094
0.0,50,22752.106317
3.0,36,22752.933038
3.0,50,22753.45597
2.0,12,22753.607742
0.0,50,22754.06773
4.0,47,22754.525288
1.0,50,22754.913241
1.0,50,22755.640657
0.0,50,22756.99057
1.0,1,22757.017667
0.0,50,22758.708933
4.0,14,22759.006787
1.0,10,22759.114069
1.0,50,22760.402503
0.0,50,22761.585271
2.0,29,22762.582524
1.0,50,22764.13161
1.0,50,22765.202373
2.0,18,22765.421209
3.0,7,22765.484206
2.0,50,22766.144243
2.0,9,22766.329717
1.0,11,22766.381265
4.0,20,22767.482697
3.0,14,22767.610135
3.0,3,22767.70318
1.0,29,22767.797972
0.0,50,22769.58238
0.0,50,22770.477548
0.0,50,22771.54944
0.0,50,22772.835848
4.0,50,22773.916152
0.0,50,22774.469339
0.0,50,22775.474279
4.0,32,22776.012373
2.0,2,22776.11061
3.0,50,22812.230192
1.0,50,22812.975942
3.0,50,22814.811297
0.0,50,22815.861059
1.0,50,22817.645191
2.0,50,22818.346354
1.0,50,22819.168273
2.0,35,22820.598199
2.0,4,22820.803865
1.0,1,22820.819897
4.0,45,22821.380741
2.0,22,22821.674023
1.0,1,22821.679781
1.0,50,22822.110771
0.0,50,22822.945035
4.0,40,22823.345581
1.0,50,22824.233581
4.0,19,22824.6665
3.0,43,22825.579581
0.0,50,22826.308896
0.0,50,22827.0495
2.0,50,22828.297185
1.0,3,22828.355977
2.0,2,22828.455184
1.0,50,22829.733699
1.0,50,22830.958743
4.0,37,22831.534856
1.0,13,22831.620366
2.0,50,22832.354656
2.0,11,22832.465955
2.0,5,22832.536282
1.0,1,22832.554744
0.0,50,22834.190933
0.0,50,22835.311354
1.0,50,22836.168459
0.0,50,22840.446957
1.0,17,22840.797822
2.0,50,22841.545464
2.0,50,22842.560644
0.0,50,22843.631933
1.0,5,22843.750129
2.0,32,22844.251504
1.0,50,22845.161709
2.0,14,22845.446292
3.0,50,22845.966056
0.0,50,22847.267436
4.0,50,22847.846972
2.0,50,22849.136726
1.0,1,22849.175688
0.0,50,22850.167346
2.0,18,22850.568803
0.0,50,22851.529855
0.0,50,22852.454867
3.0,19,22853.10483
1.0,50,22853.669282
1.0,3,22853.744068
5.0,33,22854.255262
0.0,50,22890.98441
0.0,50,22891.831227
2.0,5,22891.916454
1.0,50,22893.517694
2.0,2,22893.575629
0.0,50,22894.179326
3.0,30,22895.125844
2.0,10,22895.264199
3.0,50,22896.538672
1.0,50,22897.276194
2.0,50,22897.91592
0.0,50,22898.812276
1.0,3,22898.846508
2.0,17,22899.561081
1.0,3,22899.581057
0.0,50,22900.052106
1.0,1,22900.065388
1.0,50,22900.873197
2.0,50,22901.721477
0.0,50,22903.330028
3.0,32,22903.75462
2.0,14,22904.004074
3.0,12,22904.38592
0.0,50,22905.297969
1.0,15,22905.425886
0.0,50,22905.939645
3.0,34,22906.470112
0.0,50,22907.061997
1.0,50,22908.140691
3.0,37,22908.831192
2.0,20,22909.392182
4.0,26,22910.030801
0.0,50,22911.028947
0.0,50,22918.09057
3.0,27,22918.723641
0.0,50,22920.693406
3.0,38,22921.625467
2.0,50,22922.774638
1.0,50,22923.639281
1.0,1,22923.649191
1.0,50,22924.456227
2.0,8,22924.638246
2.0,20,22925.21492
4.0,13,22925.48106
0.0,50,22928.744905
2.0,50,22930.113214
0.0,50,22931.424965
2.0,2,22931.473861
0.0,50,22932.911862
1.0,1,22932.952356
0.0,50,22934.361182
1.0,50,22935.188656
1.0,12,22935.352888
1.0,50,22935.925916
2.0,43,22937.192853
1.0,50,22938.644934
2.0,50,22939.081896
1.0,2,22939.108626
3.0,18,22939.466163
3.0,42,22940.098785
0.0,50,22975.558115
2.0,23,22975.860723
1.0,50,22977.818267
2.0,50,22978.810973
2.0,18,22979.105959
2.0,50,22980.181821
4.0,36,22980.809796
0.0,50,22982.403481
0.0,50,22983.003384
2.0,5,22983.20969
2.0,9,22983.277941
2.0,5,22983.301304
2.0,14,22983.620605
1.0,50,22984.071105
1.0,50,22984.857463
2.0,50,22985.755756
1.0,50,22986.454678
1.0,50,22987.171724
2.0,50,22987.696692
3.0,15,22987.926261
1.0,50,22988.987729
4.0,13,22989.360145
2.0,14,22989.829994
0.0,50,22991.894924
3.0,6,22992.071084
1.0,4,22992.133502
0.0,50,22992.990829
4.0,33,22993.479317
3.0,14,22994.159047
2.0,50,22995.244639
0.0,50,22996.122148
0.0,50,22997.836384
1.0,50,22999.559
0.0,50,23000.123846
2.0,2,23000.157481
0.0,50,23001.495979
1.0,1,23001.509133
1.0,50,23002.288663
2.0,33,23003.152782
2.0,31,23004.184257
0.0,50,23005.307682
3.0,50,23006.994799
1.0,50,23008.482245
2.0,3,23008.591048
1.0,50,23010.11832
0.0,50,23010.723527
0.0,50,23011.399707
0.0,50,23012.402815
2.0,5,23012.493169
3.0,12,23012.867861
2.0,50,23013.69439
0.0,50,23014.520616
4.0,28,23015.036298
2.0,4,23015.074289
1.0,50,23015.878242
1.0,50,23020.011652
0.0,50,23020.863615
1.0,1,23020.892462
0.0,50,23021.859666
3.0,9,23021.968343
2.0,8,23057.167946
3.0,16,23057.513905
1.0,5,23057.597106
1.0,1,23057.608104
0.0,50,23058.407029
4.0,50,23059.628148
3.0,13,23059.687652
1.0,5,23059.745042
1.0,50,23060.288178
0.0,50,23060.84346
3.0,46,23062.410137
3.0,50,23063.778072
1.0,50,23064.288858
1.0,50,23065.127925
2.0,3,23065.173134
2.0,12,23065.276464
2.0,50,23066.368702
4.0,20,23066.885469
3.0,10,23066.979332
3.0,50,23067.933556
1.0,4,23067.973739
0.0,50,23068.852881
2.0,7,23068.988237
3.0,28,23070.098688
2.0,8,23070.319529
0.0,50,23070.777475
0.0,50,23071.88814
2.0,20,23072.001812
1.0,50,23072.60451
2.0,4,23072.726826
1.0,50,23073.362705
0.0,50,23074.11531
4.0,15,23074.338551
2.0,18,23074.523504
2.0,7,23074.693149
1.0,50,23075.699781
2.0,3,23075.833431
1.0,50,23076.402271
2.0,17,23076.915324
2.0,2,23077.023818
2.0,50,23077.760868
2.0,50,23078.38387
2.0,4,23078.549417
4.0,27,23078.833876
0.0,50,23080.07268
0.0,50,23081.633943
0.0,50,23082.186209
0.0,50,23082.826762
2.0,4,23082.872166
0.0,50,23083.993969
2.0,50,23085.198234
2.0,25,23085.486566
1.0,50,23086.872103
2.0,14,23087.179341
2.0,50,23087.967122
3.0,20,23088.34753
1.0,50,23089.517005
4.0,50,23090.142992
1.0,50,23091.46349
1.0,50,23092.285215
1.0,1,23092.314863
0.0,50,23093.170896
2.0,9,23093.416459
1.0,1,23093.457474
2.0,18,23093.541463
1.0,50,23094.924825
0.0,50,23126.465505
2.0,50,23127.005316
2.0,4,23127.181784
0.0,50,23128.183932
0.0,50,23129.529859
2.0,50,23130.08431
1.0,1,23130.094843
2.0,5,23130.28345
4.0,8,23130.425631
1.0,50,23131.55038
0.0,50,23132.914043
1.0,37,23133.601188
4.0,44,23133.938988
0.0,50,23135.580626
0.0,50,23136.235078
3.0,26,23136.850296
2.0,11,23136.972908
1.0,6,23137.071549
0.0,50,23138.72203
2.0,50,23139.245189
5.0,25,23139.657682
0.0,50,23140.976086
0.0,50,23141.303518
2.0,20,23141.441202
3.0,8,23141.538752
4.0,24,23141.793094
1.0,50,23142.634141
2.0,20,23143.056153
1.0,50,23143.771389
1.0,50,23144.629572
2.0,8,23144.73888
2.0,50,23146.049132
2.0,50,23146.853282
2.0,4,23146.976622
1.0,50,23147.511983
0.0,50,23148.81305
1.0,1,23148.855911
1.0,50,23149.621136
2.0,50,23150.640803
4.0,32,23150.97566
3.0,3,23151.016581
3.0,18,23151.209827
2.0,50,23151.769391
4.0,7,23152.007787
2.0,8,23152.146609
1.0,3,23152.220882
2.0,2,23152.27971
0.0,50,23153.137469
1.0,1,23153.745757
3.0,14,23153.942832
0.0,50,23154.736111
2.0,9,23154.903162
1.0,7,23154.950242
1.0,50,23155.643588
0.0,50,23156.515165
3.0,39,23156.72168
3.0,3,23156.873315
0.0,50,23157.860057
2.0,3,23157.931823
2.0,7,23158.158093
0.0,50,23159.198172
1.0,50,23160.829025
1.0,6,23160.875266
0.0,50,23161.805055
1.0,8,23161.893668
3.0,20,23162.311084
4.0,23,23162.683628
0.0,50,23196.605467
0.0,50,23197.854767
3.0,13,23198.037018
3.0,8,23198.263421
2.0,12,23198.555
1.0,37,23199.13906
4.0,30,23199.503297
0.0,50,23200.102595
0.0,50,23200.884162
2.0,3,23200.921434
3.0,34,23201.140946
0.0,50,23202.593047
1.0,50,23203.303936
2.0,50,23203.815385
2.0,50,23204.240878
1.0,1,23204.264606
2.0,38,23204.720338
1.0,2,23204.743184
6.0,48,23205.367409
1.0,2,23205.423609
0.0,50,23209.244002
3.0,38,23209.493951
2.0,15,23209.748348
3.0,35,23210.206521
2.0,18,23210.338588
2.0,2,23210.362804
0.0,50,23211.021933
4.0,20,23211.34503
3.0,21,23211.607436
1.0,50,23212.127857
2.0,50,23213.108091
0.0,50,23213.692404
1.0,50,23214.253711
1.0,3,23214.281285
2.0,13,23214.666391
3.0,27,23215.221304
2.0,3,23215.30474
2.0,11,23215.403155
1.0,50,23216.604767
1.0,50,23218.179379
2.0,50,23219.011564
2.0,39,23219.474414
0.0,50,23221.798429
2.0,21,23222.449166
1.0,50,23223.251731
3.0,50,23224.119052
1.0,50,23224.878348
1.0,50,23225.533604
2.0,50,23225.944091
4.0,30,23226.372942
2.0,7,23226.409111
1.0,50,23227.294836
1.0,3,23227.409715
1.0,13,23227.671154
3.0,33,23228.398256
1.0,1,23228.435065
0.0,50,23229.056302
0.0,50,23230.142902
2.0,15,23230.378559
1.0,17,23230.57191
2.0,4,23230.693775
3.0,15,23230.9365
0.0,50,23231.403398
1.0,14,23231.585223
3.0,6,23231.659618
2.0,4,23231.68706
1.0,50,23232.701433
0.0,50,23270.584272
0.0,50,23271.506736
4.0,50,23272.006626
0.0,50,23273.027952
4.0,50,23273.99158
0.0,50,23274.616247
0.0,50,23275.318902
4.0,31,23276.03635
1.0,1,23276.046238
1.0,50,23278.25392
0.0,50,23279.243438
0.0,50,23279.879682
1.0,50,23281.213861
1.0,1,23281.254978
4.0,22,23281.707506
4.0,28,23282.556291
0.0,50,23283.697303
3.0,50,23284.659426
0.0,50,23285.218026
3.0,11,23285.510342
0.0,50,23286.374679
1.0,50,23287.007532
1.0,2,23287.04792
5.0,28,23287.652186
0.0,50,23289.035313
0.0,50,23289.704377
1.0,5,23289.799062
2.0,5,23289.914443
0.0,50,23290.325522
1.0,22,23290.963919
0.0,50,23292.185176
0.0,50,23293.09939
3.0,6,23293.14025
0.0,50,23293.759995
1.0,15,23293.875161
1.0,50,23294.923941
2.0,3,23295.007151
4.0,25,23295.395909
2.0,2,23295.575787
3.0,16,23295.871148
0.0,50,23296.97611
0.0,50,23297.528327
0.0,50,23298.229805
0.0,50,23299.636102
1.0,50,23300.461685
2.0,6,23300.690301
0.0,50,23301.785902
0.0,50,23302.737072
0.0,50,23303.223891
3.0,36,23303.523474
3.0,9,23303.599811
2.0,37,23304.109563
2.0,30,23304.498039
0.0,50,23305.278055
0.0,50,23306.24814
1.0,50,23306.958142
2.0,24,23307.378609
0.0,50,23341.645276
3.0,22,23341.828355
0.0,50,23342.31736
0.0,50,23342.932208
1.0,50,23343.461135
1.0,50,23344.062189
1.0,50,23344.760687
1.0,5,23344.862479
2.0,8,23345.005432
1.0,50,23345.520415
2.0,12,23345.655332
2.0,15,23345.79624
0.0,50,23346.475111
1.0,50,23347.606639
2.0,50,23348.317917
1.0,10,23348.539106
2.0,31,23348.797031
2.0,10,23348.951056
0.0,50,23349.674052
2.0,22,23350.044783
1.0,1,23350.062454
2.0,6,23350.323956
0.0,50,23351.404135
1.0,50,23352.235907
1.0,50,23352.970386
2.0,3,23353.046639
1.0,3,23353.068064
1.0,50,23354.040214
1.0,50,23354.42243
1.0,50,23354.973394
2.0,9,23355.290132
1.0,50,23356.523136
5.0,36,23357.129252
0.0,50,23357.98389
2.0,50,23358.468431
0.0,50,23358.990849
1.0,50,23359.836311
2.0,5,23359.979516
0.0,50,23360.353831
2.0,50,23361.102762
2.0,7,23361.212763
1.0,1,23361.217458
1.0,50,23361.749181
2.0,25,23362.391482
1.0,50,23363.009026
1.0,9,23363.18289
1.0,6,23363.349445
2.0,50,23363.965741
0.0,50,23365.122859
1.0,50,23365.883606
0.0,50,23366.63941
3.0,15,23366.841357
3.0,17,23367.791857
0.0,50,23368.470446
1.0,5,23368.597617
1.0,50,23369.19987
2.0,50,23369.936785
1.0,50,23371.465546
3.0,11,23371.588231
1.0,50,23373.98809
1.0,50,23406.319695
2.0,14,23406.68156
4.0,21,23406.84846
1.0,50,23408.401298
0.0,50,23409.578955
0.0,50,23410.461003
2.0,2,23410.488976
0.0,50,23411.252463
1.0,1,23411.28054
0.0,50,23411.999856
1.0,17,23412.181812
2.0,10,23412.523311
0.0,50,23413.358068
0.0,50,23414.056408
2.0,8,23414.193802
2.0,2,23414.255414
0.0,50,23414.670042
0.0,50,23415.629717
0.0,50,23416.66094
4.0,35,23417.003739
3.0,4,23417.082803
1.0,50,23418.356869
0.0,50,23419.841706
0.0,50,23420.732153
0.0,50,23421.820251
0.0,50,23422.650657
0.0,50,23423.598619
0.0,50,23424.243202
1.0,50,23425.266454
4.0,24,23425.836046
1.0,50,23426.533608
2.0,19,23426.746794
0.0,50,23428.417686
1.0,50,23429.540175
0.0,50,23430.41175
1.0,1,23430.421246
0.0,50,23431.306892
4.0,25,23431.733314
2.0,50,23432.158539
0.0,50,23432.979697
1.0,50,23434.502481
1.0,50,23435.002463
0.0,50,23436.041025
3.0,24,23436.526754
2.0,50,23437.290473
3.0,23,23437.849398
0.0,50,23438.692471
1.0,1,23438.72942
0.0,50,23439.983221
1.0,50,23440.520748
1.0,3,23440.589838
2.0,4,23440.629414
1.0,1,23440.635059
4.0,45,23441.458059
0.0,50,23441.826361
0.0,50,23443.026863
1.0,50,23480.129298
0.0,50,23480.651787
2.0,17,23480.911131
2.0,50,23481.668338
2.0,50,23482.075907
3.0,13,23482.436381
2.0,4,23482.483757
2.0,50,23483.540283
4.0,23,23483.97586
4.0,13,23484.273312
0.0,50,23485.082152
3.0,38,23485.796181
3.0,27,23486.423856
1.0,50,23487.513867
0.0,50,23488.008883
1.0,2,23488.087876
0.0,50,23489.255845
3.0,50,23490.033801
1.0,1,23490.07334
3.0,21,23490.842237
0.0,50,23492.410405
1.0,50,23493.445557
2.0,50,23494.464087
4.0,15,23494.563289
1.0,1,23494.605371
1.0,50,23496.046166
1.0,27,23496.432755
3.0,50,23497.057008
1.0,50,23498.367179
1.0,1,23498.397643
3.0,12,23498.66195
3.0,11,23498.754209
0.0,50,23500.509413
2.0,50,23501.095999
1.0,3,23501.11728
1.0,50,23502.057062
1.0,50,23503.12169
3.0,22,23503.378477
3.0,23,23503.50997
1.0,50,23503.971408
3.0,31,23504.275352
2.0,34,23504.749296
2.0,50,23506.111644
1.0,50,23506.982602
0.0,50,23507.506518
0.0,50,23508.274066
1.0,50,23509.091379
0.0,50,23509.707556
1.0,1,23509.744512
0.0,50,23510.592738
2.0,50,23511.615607
1.0,50,23512.244167
1.0,50,23514.051798
3.0,41,23514.614546
0.0,50,23515.91438
4.0,5,23515.999192
1.0,50,23517.552075
2.0,2,23517.596302
0.0,50,23554.663244
3.0,12,23554.851951
3.0,21,23555.174183
0.0,50,23556.156534
1.0,50,23556.920994
3.0,50,23557.761463
2.0,23,23558.159189
2.0,50,23559.15012
0.0,50,23560.517284
3.0,6,23560.708072
1.0,50,23561.192963
4.0,50,23562.195101
1.0,50,23562.647686
1.0,2,23562.655145
2.0,50,23563.214978
1.0,4,23563.241135
2.0,8,23563.457343
0.0,50,23564.087622
2.0,14,23564.437572
2.0,2,23564.452252
0.0,50,23566.060202
0.0,50,23566.755584
2.0,19,23567.256804
2.0,50,23569.202737
1.0,50,23571.150665
1.0,50,23571.628517
2.0,21,23571.992245
2.0,12,23572.260972
2.0,50,23573.653433
1.0,50,23574.327068
0.0,50,23575.574611
2.0,9,23575.750976
1.0,8,23575.838247
2.0,2,23575.874192
3.0,15,23576.062134
1.0,2,23576.110257
1.0,50,23576.599167
1.0,50,23577.259429
2.0,50,23577.743492
0.0,50,23578.124699
0.0,50,23579.691022
0.0,50,23581.214458
0.0,50,23581.849633
1.0,1,23581.860034
3.0,25,23582.617393
5.0,37,23583.068495
3.0,13,23583.160393
0.0,50,23584.725801
1.0,3,23584.839512
2.0,13,23585.073606
1.0,50,23586.053458
4.0,18,23586.299155
2.0,27,23586.698266
1.0,50,23590.433181
1.0,50,23590.711196
3.0,33,23590.921763
2.0,7,23590.975945
2.0,50,23591.947127
1.0,3,23592.090531
1.0,9,23592.323548
1.0,50,23592.838426
2.0,50,23593.446786
3.0,50,23594.971954
3.0,25,23631.547303
2.0,2,23631.583616
0.0,50,23632.429679
2.0,39,23632.921357
2.0,11,23633.202094
3.0,9,23633.301501
0.0,50,23634.782128
3.0,17,23635.920499
3.0,44,23637.447065
1.0,50,23638.172782
0.0,50,23639.063424
0.0,50,23639.97513
0.0,50,23640.994814
2.0,13,23641.102889
0.0,50,23642.07825
3.0,33,23642.334237
0.0,50,23643.398324
1.0,50,23644.339746
1.0,50,23645.387812
1.0,50,23646.003886
1.0,50,23646.798818
2.0,8,23646.915153
2.0,2,23646.935302
1.0,3,23646.967197
1.0,7,23647.044413
2.0,50,23647.523538
4.0,19,23648.056128
3.0,47,23649.088976
3.0,48,23650.586639
0.0,50,23651.410495
3.0,5,23651.540499
1.0,50,23653.002032
1.0,9,23653.201502
1.0,50,23654.098638
3.0,47,23654.765856
1.0,50,23655.972665
2.0,50,23656.941115
4.0,27,23657.443483
1.0,50,23658.663393
4.0,50,23659.269341
1.0,2,23659.321633
1.0,8,23659.356212
1.0,50,23660.376828
2.0,17,23660.600558
0.0,50,23661.739645
1.0,50,23662.381566
3.0,25,23662.963017
1.0,50,23664.077644
2.0,11,23664.356337
2.0,13,23664.702427
1.0,2,23664.710738
5.0,42,23665.223683
0.0,50,23666.179526
0.0,50,23667.79228
0.0,50,23668.556755
1.0,50,23669.6623
0.0,50,23670.390139
1.0,2,23670.438582
5.0,45,23671.246543
3.0,23,23671.344371
2.0,23,23706.745675
0.0,50,23707.609296
2.0,5,23707.763914
2.0,32,23708.075591
4.0,17,23708.41041
0.0,50,23709.3291
1.0,2,23709.338288
3.0,14,23709.667878
0.0,50,23711.754345
2.0,50,23712.574713
5.0,50,23713.443006
2.0,33,23713.728032
3.0,27,23714.041619
3.0,6,23714.089184
0.0,50,23715.267282
0.0,50,23716.130107
1.0,26,23716.992158
1.0,50,23717.354069
0.0,50,23717.867294
0.0,50,23718.310646
2.0,15,23718.609589
0.0,50,23720.906565
1.0,50,23722.945532
1.0,7,23723.035178
1.0,50,23723.551168
1.0,50,23724.032606
4.0,4,23724.181127
1.0,50,23724.900437
3.0,16,23725.071114
3.0,17,23725.215582
3.0,27,23726.104523
