rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/is_line_search_success,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/explained_variance
44.77,18,7275,137216,0.76,67,0.001,0.03992985509685241,1.0,66,0.008569963276386261,0.020149994641542435,0.16462188959121704
41.4,18,7343,139264,0.86,68,0.001,0.04628936105291359,1.0,67,0.006274166516959667,0.01731789857149124,0.13855701684951782
39.91,19,7409,141312,1.01,69,0.001,0.051912312489002944,1.0,68,0.006312448065727949,0.007352536544203758,0.15957945585250854
41.89,19,7477,143360,1.1,70,0.001,0.06656207107007503,1.0,69,0.00888913869857788,0.013558326289057732,0.15721309185028076
42.59,19,7552,145408,1.06,71,0.001,0.0630806983099319,1.0,70,0.0065966760739684105,0.0041230106726288795,0.16552287340164185
40.88,19,7621,147456,1.09,72,0.001,0.05641906897071749,1.0,71,0.0095595084130764,0.004337064456194639,0.21013391017913818
41.4,19,7692,149504,1.1,73,0.001,0.07237065493827685,1.0,72,0.007265010848641396,0.0197363942861557,0.17440539598464966
41.92,19,7764,151552,0.89,74,0.001,0.07042018227512017,1.0,73,0.009368734434247017,0.010002534836530685,0.30061590671539307
40.97,19,7843,153600,0.96,75,0.001,0.051590170129202306,1.0,74,0.006607773248106241,0.007824575528502464,0.13593268394470215
39.88,19,7919,155648,1.14,76,0.001,0.0567578254500404,1.0,75,0.005700227338820696,0.010692320764064789,0.18859726190567017
39.4,19,7990,157696,1.09,77,0.001,0.07988399430178106,1.0,76,0.0045365686528384686,0.011919047683477402,0.15659111738204956
40.96,19,8068,159744,1.04,78,0.001,0.061006293166428804,1.0,77,0.005388299003243446,0.010547904297709465,0.26639169454574585
41.14,19,8140,161792,1.07,79,0.001,0.09349014267791063,1.0,78,0.008971971459686756,0.008841470815241337,0.1650891900062561
38.58,19,8212,163840,1.05,80,0.001,0.06981766843236983,1.0,79,0.00804940890520811,0.020108385011553764,0.10394942760467529
39.72,20,8291,165888,0.98,81,0.001,0.07146913206670433,1.0,80,0.00609824201092124,0.011548169888556004,0.25500333309173584
41.08,20,8369,167936,0.97,82,0.001,0.06130093594547361,1.0,81,0.006468797102570534,0.0058435797691345215,0.2504122257232666
39.07,20,8450,169984,1.11,83,0.001,0.06448065012227744,1.0,82,0.005752731114625931,0.011055173352360725,0.2613866329193115
39.78,20,8528,172032,1.12,84,0.001,0.0833648478728719,1.0,83,0.006752924993634224,0.008522327989339828,0.21386504173278809
39.9,20,8620,174080,1.15,85,0.001,0.05379533021477982,1.0,84,0.00985144916921854,0.005149763077497482,0.286987841129303
39.12,20,8696,176128,1.2,86,0.001,0.08795006190193817,1.0,85,0.005681767128407955,0.009979886934161186,0.2075926661491394
39.17,20,8776,178176,1.04,87,0.001,0.09537011173088103,1.0,86,0.002975999843329191,0.013185669668018818,0.1303277611732483
42.78,20,8854,180224,0.96,88,0.001,0.05448879551840946,1.0,87,0.006207257509231567,0.016406264156103134,0.17606133222579956
44.14,20,8929,182272,0.97,89,0.001,0.06530096259666607,1.0,88,0.0063408780843019485,0.0069090863689780235,0.15651077032089233
40.07,20,8998,184320,0.99,90,0.001,0.04471177759114653,1.0,89,0.009690696373581886,0.009634668007493019,0.25260645151138306
38.41,20,9072,186368,1.18,91,0.001,0.07460018743295223,1.0,90,0.005708377808332443,0.011865207925438881,0.15523642301559448
40.71,20,9140,188416,1.05,92,0.001,0.0726042287191376,1.0,91,0.007086918689310551,0.008749429136514664,0.2228063941001892
41.36,20,9210,190464,0.83,93,0.001,0.05167239885777235,1.0,92,0.00860358402132988,0.007278284057974815,0.3606054186820984
39.49,20,9279,192512,0.81,94,0.001,0.06327420814195647,1.0,93,0.007211311254650354,0.009093722328543663,0.2700878977775574
38.49,20,9347,194560,0.97,95,0.001,0.0511264544678852,1.0,94,0.005932760424911976,0.004328821785748005,0.19364255666732788
39.38,20,9413,196608,0.93,96,0.001,0.06850437503308057,1.0,95,0.005642205476760864,0.005859411787241697,0.20295125246047974
41.8,20,9483,198656,0.89,97,0.001,0.0529515128582716,1.0,96,0.007883042097091675,0.01054025162011385,0.26569944620132446
42.99,20,9564,200704,0.7,98,0.001,0.0422695912187919,1.0,97,0.0065599363297224045,0.009747626259922981,0.21740126609802246
40.51,21,9638,202752,0.78,99,0.001,0.028553982311859728,1.0,98,0.006420922465622425,0.014718853868544102,0.25305265188217163
40.95,21,9718,204800,0.94,100,0.001,0.0570988908293657,1.0,99,0.0013517601182684302,0.0007650959305465221,0.15388423204421997
41.25,21,9791,206848,1.04,101,0.001,0.04943051172303967,1.0,100,0.00781247578561306,0.007569277659058571,0.15453267097473145
40.6,21,9858,208896,1.16,102,0.001,0.07908847404178232,1.0,101,0.007300698664039373,0.008912019431591034,0.34518903493881226
40.49,21,9924,210944,1.1,103,0.001,0.07303884758148342,1.0,102,0.005784600041806698,0.002445393009111285,0.13862282037734985
40.54,21,9987,212992,1.06,104,0.001,0.061520697991363706,1.0,103,0.006542344111949205,0.008065005764365196,0.31114494800567627
37.74,21,10048,215040,1.04,105,0.001,0.06985922080930322,1.0,104,0.007939047180116177,0.0075359707698225975,0.35192012786865234
37.53,21,10119,217088,1.07,106,0.001,0.06891054848674685,1.0,105,0.005327602848410606,0.012724563479423523,0.3442080020904541
41.45,21,10187,219136,1.05,107,0.001,0.06016858131624758,1.0,106,0.006983982399106026,0.009572336450219154,0.21411436796188354
40.73,21,10255,221184,0.98,108,0.001,0.06007203380577266,1.0,107,0.005599107593297958,0.00281739910133183,0.21616625785827637
39.89,21,10322,223232,1.04,109,0.001,0.057583991473075004,1.0,108,0.007332774810492992,0.011452684178948402,0.3407529592514038
41.17,21,10389,225280,1.05,110,0.001,0.07587820823537186,1.0,109,0.008204353041946888,0.014152421616017818,0.2655300498008728
40.29,21,10460,227328,1.06,111,0.001,0.06338345329277217,1.0,110,0.0062601882964372635,0.008014173246920109,0.31529176235198975
38.8,21,10520,229376,1.0,112,0.001,0.06755706777330488,1.0,111,0.004270593170076609,0.01708928681910038,0.3037206530570984
40.6,21,10587,231424,0.9,113,0.001,0.06744750977959484,1.0,112,0.009129410609602928,0.018247663974761963,0.21047461032867432
39.45,21,10664,233472,1.03,114,0.001,0.041407235601218416,1.0,113,0.007345422171056271,0.01353054866194725,0.15810257196426392
37.64,21,10733,235520,1.1,115,0.001,0.07238969365134836,1.0,114,0.00715977605432272,0.022443430498242378,0.2402535080909729
39.04,21,10805,237568,1.16,116,0.001,0.06673334534280002,1.0,115,0.0062277307733893394,0.009759102016687393,0.2595386505126953
37.9,22,10871,239616,1.34,117,0.001,0.0918394211679697,1.0,116,0.005462230183184147,0.020003292709589005,0.187255859375
40.33,22,10934,241664,1.21,118,0.001,0.1071504755411297,1.0,117,0.007762046065181494,0.012059022672474384,0.10205650329589844
39.43,22,10998,243712,1.15,119,0.001,0.06022577179828659,1.0,118,0.008423758670687675,0.007817447185516357,0.19360196590423584
37.96,22,11082,245760,1.06,120,0.001,0.08418304123915732,1.0,119,0.0006677611963823438,0.006400850135833025,0.23033899068832397
35.92,22,11148,247808,1.13,121,0.001,0.06798099339939653,1.0,120,0.009579031728208065,0.011412082239985466,0.33243340253829956
36.52,22,11220,249856,1.25,122,0.001,0.08747775892261415,1.0,121,0.006938595324754715,0.009908497333526611,0.262728214263916
40.47,22,11299,251904,1.02,123,0.001,0.09125659383134917,1.0,122,0.009702298790216446,0.0076356856152415276,0.25167006254196167
40.39,22,11379,253952,0.95,124,0.001,0.050081458227941765,1.0,123,0.007896101102232933,0.01152630802243948,0.2933998107910156
40.5,22,11447,256000,1.05,125,0.001,0.056397028209175915,1.0,124,0.009707339107990265,0.01081205252557993,0.31568682193756104
38.47,22,11518,258048,1.22,126,0.001,0.06974641311680899,1.0,125,0.008080950938165188,0.010775210335850716,0.26633286476135254
37.97,22,11598,260096,1.19,127,0.001,0.10386061780154705,1.0,126,0.00863943062722683,0.012040399946272373,0.2748030424118042
